row_index,institution,query_exact_name,matched_exact_name,score,ein_filled
159,Florida International Training Institute,floridainternationaltraininginstitute,bfdiinternationaltraininginstitute,90.14084507042254,922332279
177,Pontifical Catholic University of Puerto Rico-Mayaguez,pontificalcatholicuniversityofpuertoricomayaguez,pontificalcatholicuniversityofpuertorico,90.9090909090909,660191965
434,Pontifical Catholic University of Puerto Rico-Ponce,pontificalcatholicuniversityofpuertoricoponce,pontificalcatholicuniversityofpuertorico,94.11764705882352,660191965
494,Caribbean University-Ponce,caribbeanuniversityponce,caribbeanuniversityinc,91.30434782608697,237409172
562,The Christ College of Nursing and Health Sciences,thechristcollegeofnursingandhealthsciences,thechristcollegeofnursinghealthsciences,96.2962962962963,203823825
912,Inter American University of Puerto Rico-Bayamon,interamericanuniversityofpuertoricobayamon,interamericanuniversityofpuertorico,90.9090909090909,660177776
913,Inter American University of Puerto Rico-Metro,interamericanuniversityofpuertoricometro,interamericanuniversityofpuertorico,93.33333333333333,660177776
921,Pontifical Catholic University of Puerto Rico-Arecibo,pontificalcatholicuniversityofpuertoricoarecibo,pontificalcatholicuniversityofpuertorico,91.95402298850574,660191965
923,Calumet College of Saint Joseph,calumetcollegeofsaintjoseph,calumetcollegeofstjoseph,94.11764705882352,351087173
924,Inter American University of Puerto Rico-Guayama,interamericanuniversityofpuertoricoguayama,interamericanuniversityofpuertorico,90.9090909090909,660177776
957,Inter American University of Puerto Rico-Arecibo,interamericanuniversityofpuertoricoarecibo,interamericanuniversityofpuertorico,90.9090909090909,660177776
986,Galaxy Medical College,galaxymedicalcollege,albanymedicalcollege,90.0,141338310
1093,Inter American University of Puerto Rico-Fajardo,interamericanuniversityofpuertoricofajardo,interamericanuniversityofpuertorico,90.9090909090909,660177776
1227,CES College,cescollege,coecollege,90.0,420686467
1611,Inter American University of Puerto Rico-Ponce,interamericanuniversityofpuertoricoponce,interamericanuniversityofpuertorico,93.33333333333333,660177776
1635,Holy Apostles College and Seminary,holyapostlescollegeandseminary,holyapostlescollegeandseminaryinc,95.23809523809523,061149131
1784,ITI Technical College,ititechnicalcollege,dixietechnicalcollege,90.0,203212820
1820,Texas Healthtech Institute,texashealthtechinstitute,texashealthinstitute,90.9090909090909,742237787
1845,Paier College,paiercollege,painecollege,91.66666666666666,237434499
1875,University of West Los Angeles,universityofwestlosangeles,universityofsouthlosangeles,90.56603773584906,954452381
1876,HDS Truck Driving Institute,hdstruckdrivinginstitute,srtruckdrivinginstitute,93.61702127659575,880663425
2065,AI Miami International University of Art and Design,aimiamiinternationaluniversityofartanddesign,miamiinternationaluniversityofartdesignllc,90.69767441860466,821491664
2166,Yeshiva Gedolah Tiferes Boruch,yeshivagedolahtiferesboruch,yeshivagedolahtiferesbaruchinc,91.22807017543859,455371797
2169,The Michigan Barber School,themichiganbarberschool,michiganbarberschool,93.02325581395348,381284777
2196,National Institute for Medical Assistant Advancement (NIMAA),nationalinstituteformedicalassistantadvancementnimaa,nationalinstituteformedicalassistantadvancementinc,94.11764705882352,813293048
2231,South Florida Bible College and Theological Seminary,southfloridabiblecollegeandtheologicalseminary,southfloridabiblecollegetheologicalseminaryinc,93.47826086956522,650807808
2264,MAK Beauty Institute,makbeautyinstitute,miaabeautyinstitute,91.89189189189189,884169149
2540,The Fab School,thefabschool,thelabschool,91.66666666666666,200170771
3096,International Beauty Education Center,internationalbeautyeducationcenter,internationalarteducationcenter,92.3076923076923,954865489
11707,Pathways Retreat,pathwaysretreat,pathwaysretreatinc,90.9090909090909,203904787
11709,Mahseh Ministries,mahsehministries,mahsehministriesinc,91.42857142857143,203945419
11710,Abbie Lane Retreat Ministry,abbielaneretreatministry,abbielaneretreatministryinc,94.11764705882352,383892856
11711,West Georgia Christian Retreat Center,westgeorgiachristianretreatcenter,westgeorgiachristianretreatctr,95.23809523809523,582552607
11718,Tres Dias of Southeast TN,tresdiasofsoutheasttn,tresdiasofsoutheasttninc,93.33333333333333,621642781
11720,Celebrate Ministries,celebrateministries,celebrateministriesinc,92.6829268292683,383352237
11724,Spark of Life Foundation,sparkoflifefoundation,sparkoflifefoundationinc,93.33333333333333,271107884
11725,Canopy Retreats,canopyretreats,canopyretreatsinc,90.32258064516128,882213370
11727,Retreat Landowners Association,retreatlandownersassociation,retreatlandownersassociationinc,94.91525423728814,237315751
11728,Rhinebeck Writers Retreat,rhinebeckwritersretreat,rhinebeckwritersretreatinc,93.87755102040816,320347704
11733,InterrWellness Retreat Center,interrwellnessretreatcenter,interrwellnessretreatcenterinc,94.73684210526316,862162344
11743,IGNATIAN Spirituality Center,ignatianspiritualitycenter,ignatianspiritualitycenterinc,94.54545454545455,591841899
11751,Dairyland Outdoor Veterans Retreat Corporation,dairylandoutdoorveteransretreatcorporation,dairylandoutdoorveteransretreatcorp,90.9090909090909,451619935
11752,Longpond Holdings,longpondholdings,longpondholdingsinc,91.42857142857143,465413082
11755,Ovarian Cancer Project,ovariancancerproject,ovariancancerprojectinc,93.02325581395348,461013307
11757,Wild Warrior Adventure,wildwarrioradventure,wildwarrioradventureinc,93.02325581395348,852519851
11758,Concerns of Police Survivors MD Chapter,concernsofpolicesurvivorsmdchapter,concernsofpolicesurvivorsiachapter,94.11764705882352,273331812
11760,Covenant Family Ministries,covenantfamilyministries,covenantfamilyministriesinc,94.11764705882352,841594822
11761,Covenant Family Ministries,covenantfamilyministries,covenantfamilyministriesinc,94.11764705882352,841594822
11765,AMERICAN STUDENT DENTAL ASSOCIATION - 5 District,americanstudentdentalassociation5district,americanstudentdentalassociationdistrict6,97.5609756097561,813033558
11766,Marriage and Family Initiative,marriageandfamilyinitiative,marriageandfamilyinitiativeinc,94.73684210526316,820693431
11767,Fiat Ministries,fiatministries,fiatministriesinc,90.32258064516128,814105380
11768,Cheerful Hearts Ministry,cheerfulheartsministry,cheerfulheartsministryinc,93.61702127659575,061790553
11770,Oasis Ministries For Spiritual Development,oasisministriesforspiritualdevelopment,oasisministriesforspiritualdevelopmentinc,96.20253164556962,251590422
11772,Betts Ministries,bettsministries,bettsministriesltd,90.9090909090909,270359915
11773,Betts Ministries,bettsministries,bettsministriesltd,90.9090909090909,270359915
11778,H3 Impact Coaching,h3impactcoaching,h3impactcoachinginc,91.42857142857143,842482089
11781,Christian Camp of North MS,christiancampofnorthms,christiancampofnorthmsinc,93.61702127659575,640800673
11782,Pumpkin Hollow Foundation,pumpkinhollowfoundation,pumpkinhollowfoundationinc,93.87755102040816,222307889
11783,The Middle Way Meditation Institute,themiddlewaymeditationinstitute,themiddlewaymeditationinstituteinc,95.38461538461537,823175026
11790,Alif International,alifinternational,lifeinternational,94.11764705882352,383625693
11791,Ohio Bible Conference,ohiobibleconference,ohiobibleconferenceinc,92.6829268292683,237297226
11804,Oklahoma Hemophilia Foundation,oklahomahemophiliafoundation,oklahomahemophiliafoundationinc,94.91525423728814,730754621
11808,D Nasser Outreach,dnasseroutreach,dnasseroutreachinc,90.9090909090909,631209490
11809,D Nasser Outreach,dnasseroutreach,dnasseroutreachinc,90.9090909090909,631209490
11810,AMERICAN STUDENT DENTAL ASSOCIATION - 3 District,americanstudentdentalassociation3district,americanstudentdentalassociationdistrict6,97.5609756097561,813033558
11818,Bethany House Ministries,bethanyhouseministries,ethanshouseministries,93.02325581395348,932773442
11822,Durwards Glen OLRG,durwardsglenolrg,durwardsglenolrgltd,91.42857142857143,451684703
11824,Coldstream Christian Camp,coldstreamchristiancamp,coldstreamchristiancampinc,93.87755102040816,621087868
11827,Hermitage Community,hermitagecommunity,hermitagecommunityinc,92.3076923076923,382687207
11832,The Camp of Colors,thecampofcolors,thecampofcolorsinc,90.9090909090909,581970351
11836,Winifred Haizel Ministeries International,winifredhaizelministeriesinternational,winniehaizelministeriesinternationalinc,90.9090909090909,862420521
11850,My Jesus Mercy Ministries,myjesusmercyministries,myjesusmercyministriesinc,93.61702127659575,232743208
11851,Littlest Tumor Foundation,littlesttumorfoundation,littlesttumorfoundationinc,93.87755102040816,270917237
11858,Shalam Ministries,shalamministries,shalomministries,93.75,453006433
11866,Return to Zero HOPE,returntozerohope,returntozerohopeinc,91.42857142857143,825131976
11871,10-10 Ministries,1010ministries,1010ministriesinc,90.32258064516128,263655465
11878,The Profound Treasury Dharma Foundation,theprofoundtreasurydharmafoundation,theprofoundtreasurydharmafoundationinc,95.89041095890411,461957635
11879,Project New Hope of Minnesota Lions Foundation,projectnewhopeofminnesotalionsfoundation,projectnewhopeofminnesotalionsfoundationinc,96.3855421686747,272749699
11881,Community Associations Institute - Central Virginia,communityassociationsinstitutecentralvirginia,communityassociationsinstitutecentralvirginiachapter,92.78350515463917,541510053
11882,Elijah's Harbor Nathan Crockett,elijahsharbornathancrockett,elijahharbornathancrockett,98.11320754716981,264758537
11885,Wounded Warriors Retreat,woundedwarriorsretreat,woundedwarriorsretreatinc,93.61702127659575,273664675
11887,Crossview Christian Camp and Retreat,crossviewchristiancampandretreat,crossviewchristiancampretreat,95.08196721311475,752879011
11888,Life out of Death Ministries,lifeoutofdeathministries,lifeoutofdeathministriesinc,94.11764705882352,561928769
11891,Mighty Is Her Call,mightyishercall,mightyishercallinc,90.9090909090909,832067631
11896,Association of Academic Surgical Administrators,associationofacademicsurgicaladministrators,associationofacademicsurgicaladministratorsinc,96.62921348314607,222599098
11904,Veterans and Athletes United,veteransandathletesunited,veteransandathletesunitedinc,94.33962264150944,461844248
11909,God's Embrace Ministries,godsembraceministries,godsembraceministriesinc,93.33333333333333,475474793
11916,REST Ministries,restministries,resetministries,96.55172413793103,821251783
11918,Respite Retreats,respiteretreats,respiteretreatsinc,90.9090909090909,830978868
11920,AMERICAN STUDENT DENTAL ASSOCIATION - 10 District,americanstudentdentalassociation10district,americanstudentdentalassociationdistrict6,96.3855421686747,813033558
11928,Mother of Incarnate Wisdom House of Prayer,motherofincarnatewisdomhouseofprayer,motherofincarnatewisdomhouseofprayerinc,96.0,161782149
11929,The Red Shoes Center for Personalspiritual Growth,theredshoescenterforpersonalspiritualgrowth,theredshoesinccenterforpersonalspiritualgrowth,96.62921348314607,721495796
11930,United Adoration,unitedadoration,unitedadorationinc,90.9090909090909,883889773
11932,Lighthouse for Hope,lighthouseforhope,lighthousefornewhope,91.89189189189189,352180417
11935,Anima Christi Retreats,animachristiretreats,animachristiretreatsinc,93.02325581395348,813165886
11941,H&M Christian Retreats,hmchristianretreats,hmchristianretreatsinc,92.6829268292683,842229622
11943,Rural Retreat Depot Foundation,ruralretreatdepotfoundation,ruralretreatdepotfoundationinc,94.73684210526316,900798511
11944,Promise Ranch Ministries,promiseranchministries,promiseranchministriesinc,93.61702127659575,812605221
11947,St Clare Sisters Retreat Ministry,stclaresistersretreatministry,stclaresistersretreatministryinc,95.08196721311475,593724904
11959,Annapolis BCM Foundation,annapolisbcmfoundation,annapolisbcmfoundationinc,93.61702127659575,521162612
11963,Ambassadors of the Flame of Mercy,ambassadorsoftheflameofmercy,ambassadorsoftheflameofmercyinc,94.91525423728814,752475309
11965,Ap Reilly Foundation,apreillyfoundation,reillyfoundation,94.11764705882352,364267003
11968,Four Streams Partners,fourstreamspartners,fourstreamspartnersinc,92.6829268292683,264434217
11972,Grandevue Study Center,grandevuestudycenter,grandevuestudycenterinc,93.02325581395348,251698294
11973,Leadership Foundation,leadershipfoundation,leadershipfoundations,97.5609756097561,251741353
11976,Destiny Youth Ranch,destinyyouthranch,destinyyouthranchinc,91.89189189189189,273308246
11977,Knights of the Holy Eucharist,knightsoftheholyeucharist,knightsoftheholyeucharistinc,94.33962264150944,205476442
11978,Taylor Hagen Memorial,taylorhagenmemorial,taylorhagenmemorialinc,92.6829268292683,814919287
11985,Bethany House of Prayer,bethanyhouseofprayer,bethanyhouseofprayerinc,93.02325581395348,263194456
11987,World Wide Hispanic Outreach,worldwidehispanicoutreach,worldwidehispanicoutreachinc,94.33962264150944,800320785
11990,Rapahope Childrens Retreat Foundation,rapahopechildrensretreatfoundation,rapahopechildrensretreatfoundationinc,95.77464788732395,630918844
11991,Wounded Warriors United of Wisconsin,woundedwarriorsunitedofwisconsin,woundedwarriorsunitedofwisconsininc,95.52238805970148,861318813
11993,Our Sacred Space,oursacredspace,oursacredspaceinc,90.32258064516128,261412496
11994,Youth Center,youthcenter,outcenter,90.0,800341856
11999,Walnut Ridge Christian Camp,walnutridgechristiancamp,walnutridgechristiancampinc,94.11764705882352,824411260
12000,Shepherds Hill Retreats,shepherdshillretreats,shepherdshillretreatsinc,93.33333333333333,450436427
12004,Palmo Center for Peace and Education,palmocenterforpeaceandeducation,palmocenterforpeaceeducation,94.91525423728814,464722188
12007,Warrior Ranch Foundation,warriorranchfoundation,warriorranchfoundationinc,93.61702127659575,813158108
12009,Parents of Murdered Children,parentsofmurderedchildren,parentsofmurderedchildreninc,94.33962264150944,311023437
12010,Warm An Loving Ministries,warmanlovingministries,warmanlovingministriesinc,93.61702127659575,953883546
12011,Sam and Devorah Foundation for Trans Youth,samanddevorahfoundationfortransyouth,samdevorahfoundationfortransyouthinc,91.66666666666666,811969816
12015,Tom Ewing Ministries,tomewingministries,tomewingministriesinc,92.3076923076923,261238042
12021,Bible Conference Northfield,bibleconferencenorthfield,bibleconferenceincnorthfield,94.33962264150944,042300275
12023,Conscious Humanity,conscioushumanity,conscioushumanityinc,91.89189189189189,371471067
12024,Tofte Lake Center,toftelakecenter,toftelakecenterinc,90.9090909090909,134359561
12030,Mystical Humanity of Christ,mysticalhumanityofchrist,themysticalhumanityofchrist,94.11764705882352,943339818
12034,Ed Lacy Ministries,edlacyministries,edlacyministriesinc,91.42857142857143,631125005
12036,God's Mountain Ministries,godsmountainministries,godsmountainministriesinc,93.61702127659575,432010579
12039,Further Still Ministries,furtherstillministries,furtherstillministriesinc,93.61702127659575,260149915
12042,Beechview Swim Club,beechviewswimclub,beechviewswimclubinc,91.89189189189189,381717642
12045,Children's Bible Fellowship of New York,childrensbiblefellowshipofnewyork,childrensbiblefellowshipofnewyorkinc,95.65217391304348,111834468
12046,Children's Bible Fellowship of New York,childrensbiblefellowshipofnewyork,childrensbiblefellowshipofnewyorkinc,95.65217391304348,111834468
12047,Children's Bible Fellowship of New York,childrensbiblefellowshipofnewyork,childrensbiblefellowshipofnewyorkinc,95.65217391304348,111834468
12049,Camp Witness Bible Conference Association,campwitnessbibleconferenceassociation,campwitnessbibleconferenceassoc,91.17647058823529,362894966
12050,Valley View Camp,valleyviewcamp,valleyviewcampinc,90.32258064516128,611499539
12058,Living Waters Ministries,livingwatersministries,livingwaterministries,97.67441860465115,880349517
12060,Vedanta Spiritual and Holistic Retreat,vedantaspiritualandholisticretreat,vedantaspiritualholisticretreat,95.38461538461537,472154510
12061,Cafh Foundation,cafhfoundation,cafafoundation,92.85714285714286,371782208
